timestamp,Well ID,Flow (gpm),Discharge Pressure (psi),Suction Pressure (psi),Motor Power (hp),Pump Efficiency (%),Motor Speed (rpm),flow_deviation_pct,head_deviation_pct,power_deviation_pct,efficiency_deviation_pct,status
2024-06-01 00:00:00,Well 1,253.9,75.49,25.0,19.51,57.3,1800,0.6222010858795993,0.2390120833886504,-2.621084238288117,-4.500000000000004,Warning
2024-06-01 01:00:00,Well 1,252.27,77.27,25.0,20.2,56.3,1800,-0.023778385447629006,2.602576019120958,0.8228651146376121,-6.166666666666671,Warning
2024-06-01 02:00:00,Well 1,251.09,76.76,25.0,20.22,55.59,1800,-0.49141996591765114,1.925375116186433,0.9226897335629938,-7.349999999999994,Warning
2024-06-01 03:00:00,Well 1,252.64,75.98,25.0,20.57,54.44,1800,0.1228549914794015,0.8896560881689041,2.669620564757217,-9.266666666666671,Warning
2024-06-01 04:00:00,Well 1,247.2,78.31,25.0,20.55,54.95,1800,-2.0330519557722124,3.9835347231443365,2.5697959458318356,-8.416666666666663,Warning
2024-06-01 05:00:00,Well 1,251.19,76.95,25.0,19.56,57.65,1800,-0.45178932350493983,2.177665648652238,-2.3715226909746714,-3.916666666666669,Warning
2024-06-01 06:00:00,Well 1,252.69,76.89,25.0,20.13,56.31,1800,0.14267031268576277,2.0979949541893483,0.47347894839876753,-6.149999999999997,Warning
2024-06-01 07:00:00,Well 1,259.34,76.19,25.0,19.98,57.7,1800,2.778108033131202,1.1685035187889994,-0.2752056935416038,-3.833333333333329,Warning
2024-06-01 08:00:00,Well 1,254.07,73.2,25.0,20.16,53.81,1800,0.6895731779812074,-2.8017527552781827,0.6232158767868489,-10.316666666666663,Warning
2024-06-01 09:00:00,Well 1,256.73,76.0,25.0,19.59,58.11,1800,1.7437482661593968,0.9162129863231944,-2.22178576258659,-3.150000000000001,Warning
2024-06-01 10:00:00,Well 1,246.18,74.74,25.0,19.41,55.29,1800,-2.4372845083818833,-0.7568715973974338,-3.120207332915043,-7.850000000000001,Warning
2024-06-01 11:00:00,Well 1,254.26,77.87,25.0,19.41,59.49,1800,0.7648713985653621,3.3992829637498367,-3.120207332915043,-0.8499999999999968,Warning
2024-06-01 12:00:00,Well 1,244.23,74.11,25.0,19.88,53.13,1800,-3.210082035429803,-1.5934138892577383,-0.7743287881685298,-11.449999999999996,Warning
2024-06-01 13:00:00,Well 1,246.19,76.92,25.0,20.25,54.55,1800,-2.4333214441406152,2.1378303014207933,1.0724266619510752,-9.083333333333337,Warning
2024-06-01 14:00:00,Well 1,253.59,73.78,25.0,20.56,53.08,1800,0.4993460944001866,-2.031602708803613,2.6197082552945172,-11.533333333333335,Warning
2024-06-01 15:00:00,Well 1,253.9,74.17,25.0,19.84,55.37,1800,0.6222010858795993,-1.5137431947948488,-0.973978026019293,-7.71666666666667,Warning
2024-06-01 16:00:00,Well 1,251.56,72.42,25.0,19.89,53.43,1800,-0.3051559465778981,-3.8374717832957117,-0.72441647870583,-10.95,Warning
2024-06-01 17:00:00,Well 1,248.77,72.13,25.0,20.09,52.11,1800,-1.4108508698926019,-4.222546806533005,0.2738297105480042,-13.15,Warning
2024-06-01 18:00:00,Well 1,257.53,73.1,25.0,20.57,53.39,1800,2.0607934054610864,-2.934537246049672,2.669620564757217,-11.016666666666666,Warning
2024-06-01 19:00:00,Well 1,256.96,75.01,25.0,19.6,57.35,1800,1.8348987437086222,-0.3983534723144299,-2.1718734531238906,-4.416666666666664,Warning
2024-06-01 20:00:00,Well 1,254.6,75.72,25.0,19.94,56.39,1800,0.8996155827685894,0.5444164121630548,-0.47485493139236706,-6.016666666666666,Warning
2024-06-01 21:00:00,Well 1,251.46,76.47,25.0,20.51,54.69,1800,-0.3447865889906093,1.540300092949139,2.370146707981072,-8.850000000000003,Warning
2024-06-01 22:00:00,Well 1,244.25,75.07,25.0,20.14,53.1,1800,-3.2021559069472563,-0.318682777851559,0.5233912578614672,-11.499999999999998,Warning
2024-06-01 23:00:00,Well 1,256.22,75.98,25.0,19.92,57.0,1800,1.5416319898545612,0.8896560881689041,-0.5746795503177488,-5.0,Warning
2024-06-02 00:00:00,Well 1,253.34,74.95,25.0,19.81,55.91,1800,0.4002694883684028,-0.4780241667773196,-1.1237149544073743,-6.816666666666673,Warning
2024-06-02 01:00:00,Well 1,249.45,76.68,25.0,20.1,55.5,1800,-1.1413625014861584,1.819147523569253,0.3237420200107039,-7.5,Warning
2024-06-02 02:00:00,Well 1,257.38,71.75,25.0,19.68,54.74,1800,2.001347441842025,-4.727127871464615,-1.7725749774223638,-8.766666666666662,Warning
2024-06-02 03:00:00,Well 1,253.05,77.3,25.0,20.17,56.57,1800,0.2853406253715368,2.642411366352403,0.6731281862495485,-5.716666666666667,Warning
2024-06-02 04:00:00,Well 1,254.17,76.46,25.0,19.18,59.11,1800,0.7292038203939186,1.5270216438719844,-4.268190450556959,-1.4833333333333343,Warning
2024-06-02 05:00:00,Well 1,247.56,75.47,25.0,20.11,54.2,1800,-1.8903816430864382,0.21245518523436008,0.37365432947338584,-9.666666666666663,Warning
2024-06-02 06:00:00,Well 1,253.64,74.19,25.0,20.13,54.54,1800,0.5191614156065366,-1.4871862966405585,0.47347894839876753,-9.100000000000001,Warning
2024-06-02 07:00:00,Well 1,254.78,75.04,25.0,20.14,55.38,1800,0.9709507391114764,-0.35851812508298503,0.5233912578614672,-7.699999999999996,Warning
